SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-17-2023,Single Family Residential,4617 47th Ave S,Seattle,WA,98118,995000,4.0,3.0,Columbia City,1980.0,5475.0,1972.0,,503.0,,Sold,,,https://www.redfin.com/WA/Seattle/4617-47th-Ave-S-98118/home/491290,NWMLS as Distributed by MLS Grid,2075955.0,N,Y,47.561189,-122.27475
PAST SALE,November-30-2022,Single Family Residential,9803 57th Ave S,Seattle,WA,98118,766000,5.0,1.5,Upper Rainier Beach,2830.0,4000.0,1918.0,,271.0,,Sold,,,https://www.redfin.com/WA/Seattle/9803-57th-Ave-S-98118/home/175988,NWMLS as Distributed by MLS Grid,2011574.0,N,Y,47.5132151,-122.2623489
PAST SALE,August-18-2023,Single Family Residential,4515 S Snoqualmie St,Seattle,WA,98118,1175000,4.0,3.0,Columbia City,2242.0,7200.0,1972.0,,524.0,,Sold,,,https://www.redfin.com/WA/Seattle/4515-S-Snoqualmie-St-98118/home/491143,NWMLS as Distributed by MLS Grid,2137066.0,N,Y,47.5615368,-122.2762267
PAST SALE,November-30-2022,Single Family Residential,5400 S Fletcher St,Seattle,WA,98118,700000,4.0,3.0,Rainier Beach,2340.0,6200.0,1985.0,,299.0,,Sold,,,https://www.redfin.com/WA/Seattle/5400-S-Fletcher-St-98118/home/176518,NWMLS as Distributed by MLS Grid,2008078.0,N,Y,47.5192475,-122.2648972
PAST SALE,July-13-2023,Single Family Residential,6909 52nd Ave S,Seattle,WA,98118,1065000,4.0,3.0,Seward Park,3740.0,8000.0,1969.0,,285.0,,Sold,,,https://www.redfin.com/WA/Seattle/6909-52nd-Ave-S-98118/home/491453,NWMLS as Distributed by MLS Grid,2126465.0,N,Y,47.5403519,-122.2674892
PAST SALE,,Single Family Residential,5547 S Morgan St,Seattle,WA,98118,769000,4.0,4.0,,1780.0,7860.0,2023.0,,432.0,,,,,https://www.redfin.com/WA/Seattle/5547-S-Morgan-St-98118/home/490262,,,N,Y,47.544095,-122.262083
PAST SALE,March-16-2023,Single Family Residential,4207 S Spencer St,Seattle,WA,98118,600000,4.0,1.0,Hillman City,1500.0,6180.0,1909.0,,400.0,,Sold,,,https://www.redfin.com/WA/Seattle/4207-S-Spencer-St-98118/home/172843,NWMLS as Distributed by MLS Grid,2031996.0,N,Y,47.5472381,-122.2803371
PAST SALE,September-14-2023,Single Family Residential,9370 54th Ave S,Seattle,WA,98118,710000,4.0,2.5,Upper Rainier Beach,2182.0,5500.0,1920.0,,325.0,,Sold,,,https://www.redfin.com/WA/Seattle/9370-54th-Ave-S-98118/home/176299,NWMLS as Distributed by MLS Grid,2137200.0,N,Y,47.5169976,-122.2648529
PAST SALE,March-22-2023,Single Family Residential,8343 Martin Luther King Jr. Way S,Seattle,WA,98118,725000,5.0,3.0,Beacon Hill,2000.0,4553.0,1976.0,,363.0,,Sold,,,https://www.redfin.com/WA/Seattle/8343-Martin-Luther-King-Jr-Way-S-98118/home/480487,NWMLS as Distributed by MLS Grid,2034843.0,N,Y,47.5280205,-122.2806028
PAST SALE,May-30-2023,Single Family Residential,5047 57th Ave S,Seattle,WA,98118,1310000,4.0,2.0,Seward Park,2876.0,9853.0,1952.0,,455.0,,Sold,,,https://www.redfin.com/WA/Seattle/5047-57th-Ave-S-98118/home/489295,NWMLS as Distributed by MLS Grid,2055277.0,N,Y,47.5558131,-122.2635701
